SEVERITYCODE,X,Y,OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INCDATE,INCDTTM,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR
1,-122.3207279,47.661319,371,320847,322347,E919482,Matched,Intersection,27070,7TH AVE NE AND NE 45TH ST, ,,1,Property Damage Only Collision,Right Turn,5,0,0,2,2019/04/24 00:00:00+00,4/24/2019 7:27:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,,,16,From same direction - one right turn - one straight,0,0,N
1,-122.3289928,47.65969203,372,83900,83900,2897332,Matched,Block,,EASTERN AVE N BETWEEN N 43RD ST AND N 44TH ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2008/03/06 00:00:00+00,03-06-2008,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,8066014,,32,One parked--one moving,0,0,N
2,-122.3449719,47.72275671,373,320823,322323,E936790,Matched,Block,,AURORA AVE N BETWEEN N 128TH ST AND N 130TH ST, ,,2,Injury Collision,Rear Ended,2,0,0,2,2019/07/03 00:00:00+00,07-03-2019 12:12,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,N,Clear,Dry,Daylight,,,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
2,-122.3224587,47.59583117,374,64300,64300,2805569,Matched,Intersection,30447,8TH AVE S AND S DEARBORN ST,,,2,Injury Collision,Angles,7,0,0,2,2007/07/21 00:00:00+00,7/21/2007 12:41:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Overcast,Dry,Daylight,,7202013,,10,Entering at angle,0,0,N
1,-122.3252905,47.63676668,375,1088,1088,3615244,Unmatched,Block,,E NEWTON ST BETWEEN EASTLAKE AVE E AND FRANKLIN AVE E, ,,1,Property Damage Only Collision,,1,0,0,0,2013/03/25 00:00:00+00,3/25/2013,Mid-Block (not related to intersection),0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,,,,,,,, ,,0,0,N
1,-122.3554531,47.61860207,376,59300,59300,C672822,Matched,Intersection,29717,1ST AVE AND DENNY WAY,,,1,Property Damage Only Collision,Right Turn,2,0,0,2,2006/08/10 00:00:00+00,08-10-2006 17:22,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,6222051,,16,From same direction - one right turn - one straight,0,0,N
1,-122.3148331,47.59222659,377,330976,332476,3857192,Unmatched,Block,,14TH AVE S BETWEEN GOLF DR S AND S JUDKINS ST, ,,1,Property Damage Only Collision,,1,0,0,0,2020/04/24 00:00:00+00,4/24/2020,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,,,,,,,, ,,0,0,N
1,-122.377854,47.68227987,378,49200,49200,2400558,Matched,Block,,16TH AVE NW BETWEEN NW 73RD ST AND NW 75TH ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2006/05/21 00:00:00+00,5/21/2006 12:00:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Unknown,Unknown,Unknown,,6141030,,32,One parked--one moving,0,0,N
1,-122.3142101,47.66490847,379,37300,37300,2023349,Matched,Intersection,25792,BROOKLYN AVE NE AND NE 50TH ST,,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,2005/08/07 00:00:00+00,08-07-2005,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,5219026,,71,Same direction -- both turning right -- both moving -- sideswipe,0,0,N
1,-122.3555559,47.72731779,380,1358,1358,3568600,Matched,Block,,GREENWOOD AVE N BETWEEN N 134TH ST AND N 136TH ST, ,,1,Property Damage Only Collision,Left Turn,2,0,0,2,2013/04/02 00:00:00+00,04-02-2013 15:10,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Overcast,Dry,Daylight,,,,28,From opposite direction - one left turn - one straight,0,0,N
1,-122.3295862,47.54669393,381,112600,112600,3383778,Matched,Block,,4TH AVE S BETWEEN S FRONT ST AND S MICHIGAN ST,,,1,Property Damage Only Collision,Angles,2,0,0,2,2010/04/02 00:00:00+00,04-02-2010 15:19,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Raining,Wet,Daylight,,10092008,,10,Entering at angle,0,0,N
2,-122.3897649,47.5442748,382,35200,35200,1795257,Matched,Block,,FAUNTLEROY WAY SW BETWEEN FAUNTLEROY WR N WAY SW AND FAUNTLEROY WR S WAY SW,,,2,Injury Collision,Sideswipe,2,0,0,2,2005/08/28 00:00:00+00,8/28/2005 8:20:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Raining,Wet,Dark - Street Lights On,,5240012,,26,From opposite direction - both going straight - sideswipe,0,0,N
1,-122.368598,47.67089368,383,320866,322366,E937659,Matched,Intersection,25407,9TH AVE NW AND NW 58TH ST, ,,1,Property Damage Only Collision,Other,1,0,0,1,2019/07/02 00:00:00+00,07-02-2019 05:19,At Intersection (intersection related),26,MOTOR VEHICLE STRUCK OBJECT IN ROAD,,N,Clear,Dry,Dawn,,,,50,Fixed object,0,0,N
1,-122.3027722,47.60743702,385,45800,45800,1744858,Matched,Block,,23RD AVE BETWEEN E JAMES ST AND E CHERRY ST,,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,2005/07/15 00:00:00+00,7/15/2005 5:20:00 PM,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,0,Raining,Wet,Daylight,,5196042,,11,From same direction - both going straight - both moving - sideswipe,0,0,N
1,-122.4119786,47.57825038,386,1021,1021,3380605,Matched,Block,,62ND AVE SW BETWEEN ALKI AVE SW AND SW STEVENS ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/03/24 00:00:00+00,3/24/2013 5:00:00 PM,Mid-Block (not related to intersection),13,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE AT ANGLE",,N,Clear,Dry,Daylight,,,,32,One parked--one moving,0,0,N
1,-122.3058331,47.64556131,387,21800,21800,1772106,Matched,Block,,E HAMLIN ST BETWEEN 19TH AVE E AND MONTLAKE BLVD E,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2004/04/07 00:00:00+00,04-07-2004,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Overcast,Dry,Dark - Street Lights On,,4098009,,32,One parked--one moving,0,0,N
1,-122.2699958,47.51903818,388,330947,332447,EA30523,Matched,Intersection,35462,51ST AVE S AND S FLETCHER ST, ,,1,Property Damage Only Collision,Angles,4,0,0,2,2020/04/24 00:00:00+00,4/24/2020 2:33:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Overcast,Dry,Daylight,,,,10,Entering at angle,0,0,N
1,-122.3312782,47.604305,389,82800,82800,2898772,Matched,Block,,4TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,2008/11/04 00:00:00+00,11-04-2008,Mid-Block (but intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,8309017,,13,From same direction - both going straight - both moving - rear-end,0,0,N
1,-122.3408879,47.69053492,391,55600,55600,2400631,Matched,Block,,N 85TH ST BETWEEN STONE E AVE N AND INTERLAKE W AVE N,,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,2006/05/25 00:00:00+00,5/25/2006 11:25:00 AM,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Overcast,Dry,Daylight,,6145007,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
1,-122.312222,47.69079567,392,1196,1196,3501625,Matched,Block,,15TH AVE NE BETWEEN NE 85TH ST AND NE 86TH ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/03/31 00:00:00+00,3/31/2013 10:38:00 AM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Other,Unknown,Unknown,,,,32,One parked--one moving,0,0,N
1,-122.3725543,47.53737723,393,330893,332393,EA30102,Unmatched,Intersection,34037,31ST AVE SW AND SW OTHELLO ST, ,,1,Property Damage Only Collision,,2,0,0,0,2020/04/16 00:00:00+00,4/16/2020,At Intersection (intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,,,,,,,, ,,0,0,N
1,-122.2944332,47.56230392,394,44000,44000,1791236,Matched,Block,,M L KING JR WR WAY S BETWEEN S COLUMBIAN WAY AND S SNOQUALMIE ST,,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,2005/02/24 00:00:00+00,2/24/2005 7:15:00 AM,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear,Dry,Daylight,,5055019,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
1,-122.381462,47.55745978,395,31200,31200,1798437,Matched,Intersection,32773,FAUNTLEROY WAY SW AND SW HUDSON ST,,,1,Property Damage Only Collision,Left Turn,3,0,0,2,2004/06/06 00:00:00+00,06-06-2004,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Overcast,Wet,Daylight,,4158017,,28,From opposite direction - one left turn - one straight,0,0,N
1,-122.3660381,47.6756254,397,1154,1154,3615245,Matched,Block,,8TH AVE NW BETWEEN NW 64TH ST AND NW 65TH ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/03/26 00:00:00+00,3/26/2013 5:00:00 PM,Mid-Block (not related to intersection),0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Clear,Dry,Daylight,,,,32,One parked--one moving,0,0,N
1,-122.3045334,47.66567211,398,1273,1273,3507862,Matched,Block,,22ND AVE NE BETWEEN NE 50TH ST AND NE 52ND ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/04/01 00:00:00+00,04-01-2013 01:00,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Dark - Street Lights On,,,,32,One parked--one moving,0,0,N
1,-122.3030409,47.60166829,399,320852,322352,E919486,Matched,Block,,E YESLER WAY BETWEEN 22ND AVE AND 23RD AVE, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2019/04/25 00:00:00+00,4/25/2019 12:34:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Daylight,,,,19,One car entering parked position,0,0,Y
2,-122.3342556,47.52935807,400,320827,322327,E918813,Matched,Block,,SR509 NB BETWEEN KENYON ON RP AND 1ST AV S ON RP, ,,2,Injury Collision,Sideswipe,5,0,0,3,2019/04/25 00:00:00+00,4/25/2019 7:44:00 AM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,N,Clear,Dry,Daylight,,,,11,From same direction - both going straight - both moving - sideswipe,0,0,N
1,,,401,84700,84700,C710127,Matched,,,,NEI,"Not Enough Information, or Insufficient Location Information",1,Property Damage Only Collision,Parked Car,2,0,0,2,2008/09/15 00:00:00+00,9/15/2008 3:45:00 PM,,0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,0,Clear,Dry,Daylight,,8259051,,20,One car leaving parked position,0,0,N
1,-122.3263555,47.60045148,402,330821,332321,EA29422,Matched,Block,,6TH AVE S BETWEEN S WASHINGTON ST AND S MAIN ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2020/04/16 00:00:00+00,4/16/2020 11:43:00 AM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,,,32,One parked--one moving,0,0,Y
1,,,403,53400,53400,2184918,Matched,Alley,,,,,1,Property Damage Only Collision,Parked Car,4,0,0,2,2006/01/13 00:00:00+00,1/13/2006 8:43:00 AM,,0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,0,Raining,Wet,Daylight,,6013048,,32,One parked--one moving,0,0,N
1,-122.3660347,47.69786483,404,1086,1086,3613223,Matched,Intersection,37149,8TH AVE NW AND NW 95TH ST, ,,1,Property Damage Only Collision,Angles,2,0,0,2,2013/03/25 00:00:00+00,3/25/2013 4:33:00 PM,At Intersection (intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Daylight,,,,10,Entering at angle,0,0,N
1,-122.2737411,47.54381502,405,41600,41600,1797556,Matched,Block,,RAINIER AVE S BETWEEN S MORGAN ST AND S WARSAW ST,,,1,Property Damage Only Collision,Parked Car,3,0,0,2,2005/05/24 00:00:00+00,5/24/2005 4:30:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,5144035,,20,One car leaving parked position,0,0,N
1,-122.3350319,47.60421435,407,1147,1147,3548946,Unmatched,Block,,MARION ST BETWEEN 1ST AVE AND 2ND AVE, ,,1,Property Damage Only Collision,,2,0,0,0,2013/03/29 00:00:00+00,3/29/2013,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,,,,,,,, ,,0,0,N
2,-122.3182881,47.54530868,408,18400,18400,1790486,Matched,Block,,S ALBRO PL BETWEEN ELLIS AVE S AND S EDDY ST,,,2,Injury Collision,Sideswipe,3,0,0,2,2004/08/29 00:00:00+00,8/29/2004 3:59:00 AM,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,0,Clear,Dry,Dark - Street Lights On,,4242002,,11,From same direction - both going straight - both moving - sideswipe,0,0,N
1,-122.3196407,47.59708197,409,320940,322440,3746498,Matched,Block,,10TH AVE S BETWEEN S WELLER ST AND XW S LANE ST, ,,1,Property Damage Only Collision,Angles,2,0,0,2,2019/07/05 00:00:00+00,07-05-2019 16:40,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",Y,N,Clear,Dry,Daylight,,,,10,Entering at angle,0,0,N
1,-122.3120887,47.68350004,410,112100,112100,3376953,Matched,Block,,15TH AVE NE BETWEEN NE 75TH ST AND NE 76TH ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2010/05/10 00:00:00+00,05-10-2010 05:17,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Raining,Wet,Dawn,,10130003,,32,One parked--one moving,0,0,N
1,-122.398368,47.676201,411,320902,322402,E923893,Matched,Block,,32ND AVE NW BETWEEN NW 65TH ST AND NW 66TH ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2019/04/28 00:00:00+00,4/28/2019 4:37:00 AM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Dark - Street Lights On,,,,32,One parked--one moving,0,0,Y
1,-122.2849971,47.56617723,413,63700,63700,2615501,Matched,Intersection,32699,38TH AVE S AND S DAKOTA ST,,,1,Property Damage Only Collision,Angles,2,0,0,2,2006/07/25 00:00:00+00,7/25/2006 12:00:00 PM,At Intersection (intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear,Dry,Daylight,,6206030,,10,Entering at angle,0,0,N
1,-122.302355,47.6286448,414,330810,332310,EA29621,Unmatched,Intersection,29317,23RD AVE E AND E PROSPECT ST, ,,1,Property Damage Only Collision,,2,0,0,0,2020/04/14 00:00:00+00,4/14/2020,At Intersection (intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,,,,,,,, ,,0,0,N
2,-122.319235,47.65421717,415,97000,97000,2882817,Matched,Block,,UNIVERSITY BR BETWEEN POINT B AND EASTLAKE AVE NE,,,2,Injury Collision,Other,1,0,0,1,2009/09/30 00:00:00+00,9/30/2009 8:50:00 AM,Mid-Block (not related to intersection),26,MOTOR VEHICLE STRUCK OBJECT IN ROAD,,1,Clear,Dry,Daylight,,9273025,,50,Fixed object,0,0,N
1,-122.3610149,47.53855078,416,53600,53600,2127310,Matched,Block,,DELRIDGE WAY SW BETWEEN SW MYRTLE ST AND SW ORCHARD ST,,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,2006/05/17 00:00:00+00,5/17/2006 4:56:00 PM,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,0,Clear,Dry,Daylight,,6137017,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
1,-122.3341993,47.58293839,417,1326,1326,3645763,Matched,Block,,1ST AVE S BETWEEN S WALKER ST AND S STACY ST,NEI,"Not Enough Information, or Insufficient Location Information",1,Property Damage Only Collision,Parked Car,3,0,0,2,2013/04/02 00:00:00+00,04-02-2013 18:30,Mid-Block (not related to intersection),0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Clear,Unknown,Daylight,,,,32,One parked--one moving,0,0,N
2,-122.3446898,47.70468772,418,1004,1004,3552564,Matched,Block,,AURORA AVE N BETWEEN N 104TH ST AND N NORTHGATE WAY, ,,2,Injury Collision,Rear Ended,2,0,0,2,2013/03/22 00:00:00+00,3/22/2013 7:26:00 PM,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Daylight,,,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
2,-122.3670236,47.62559265,419,51900,51900,2071713,Matched,Block,,ELLIOTT AVE W BETWEEN W MERCER ST AND W MERCER PL,,,2,Injury Collision,Other,5,0,0,2,2006/03/17 00:00:00+00,3/17/2006 2:27:00 PM,Driveway Junction,11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,6076013,,21,One car entering driveway access,0,0,N
1,-122.3604461,47.65454083,421,1132,1132,3502002,Matched,Block,,LEARY WAY NW BETWEEN NW 39TH ST AND 3RD AVE NW, ,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,2013/03/26 00:00:00+00,3/26/2013 9:25:00 PM,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Dark - Street Lights On,,,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
1,-122.3201136,47.61408042,422,17800,17800,1475615,Matched,Block,,E PIKE ST BETWEEN BROADWAY AND 10TH AVE,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2004/07/03 00:00:00+00,07-03-2004,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Unknown,Unknown,Dark - Street Lights On,,4185008,,32,One parked--one moving,0,0,N
2,-122.3573604,47.62458528,423,320842,322342,3547728,Matched,Block,,W MERCER ST BETWEEN QUEEN ANNE AVE N AND 1ST AVE W, ,,2,Injury Collision,Cycles,2,0,1,1,2019/07/07 00:00:00+00,07-07-2019 21:32,Driveway Junction,18,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Overcast,Wet,Dark - Street Lights On,Y,,,5,Vehicle Strikes Pedalcyclist,0,0,N
1,-122.3803149,47.57314492,424,98700,98700,3295555,Matched,Intersection,31832,38TH AVE SW AND SW HINDS ST,,,1,Property Damage Only Collision,Angles,3,0,0,2,2009/05/29 00:00:00+00,5/29/2009 9:04:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Dusk,,9149009,Y,10,Entering at angle,0,0,N
1,-122.3130342,47.66749016,425,320817,322317,E936789,Matched,Block,,UNIVERSITY WAY NE BETWEEN NE 52ND ST AND NE 55TH ST, ,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,2019/07/03 00:00:00+00,07-03-2019 12:00,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Clear,Dry,Daylight,,,,11,From same direction - both going straight - both moving - sideswipe,0,0,N
2,-122.2808059,47.52426198,426,330917,332417,3837870,Unmatched,Intersection,35267,42ND AVE S AND S TRENTON ST, ,,2,Injury Collision,,4,0,0,0,2020/04/24 00:00:00+00,4/24/2020,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,,,,,,,, ,,0,0,N
1,-122.2992211,47.61891506,427,64200,64200,2059939,Matched,Block,,E DENNY WAY BETWEEN 25TH AVE AND 26TH AVE,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2006/03/11 00:00:00+00,03-11-2006 09:11,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Clear,Dry,Daylight,,6070029,,32,One parked--one moving,0,0,N
1,-122.3027274,47.61226406,428,1084,1084,3605933,Matched,Block,,23RD AVE BETWEEN E SPRING ST AND E UNION ST, ,,1,Property Damage Only Collision,Angles,2,0,0,2,2013/03/25 00:00:00+00,3/25/2013 4:05:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,N,Clear,Dry,Daylight,,,,10,Entering at angle,0,0,N
1,-122.3565937,47.65343693,429,58200,58200,2614146,Matched,Block,,PALATINE AVE N BETWEEN N 36TH ST AND N 39TH ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2006/10/14 00:00:00+00,10/14/2006 1:00:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Unknown,Unknown,Unknown,,6287036,,32,One parked--one moving,0,0,N
1,-122.3141674,47.6129174,430,330949,332449,EA30501,Matched,Intersection,29763,14TH AVE AND E UNION ST, ,,1,Property Damage Only Collision,Angles,2,0,0,2,2020/04/08 00:00:00+00,04-08-2020 22:55,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Dark - Street Lights On,,,,10,Entering at angle,0,0,N
1,-122.3025972,47.61710747,431,50800,50800,2128519,Matched,Intersection,29988,23RD AVE AND E OLIVE N ST,,,1,Property Damage Only Collision,Left Turn,6,0,0,2,2006/06/18 00:00:00+00,6/18/2006 4:03:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Overcast,Dry,Dawn,,6169012,,28,From opposite direction - one left turn - one straight,0,0,N
2,-122.3854043,47.68775789,432,38000,38000,1796707,Matched,Block,,23RD AVE NW BETWEEN NW 80TH ST AND NW 83RD ST,,,2,Injury Collision,Parked Car,2,0,0,2,2005/06/20 00:00:00+00,6/20/2005 2:23:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,5171018,,32,One parked--one moving,0,0,N
2,-122.3353197,47.60872335,433,1359,1359,3581634,Matched,Block,,4TH AVE BETWEEN UNIVERSITY ST AND UNION ST, ,,2,Injury Collision,Rear Ended,3,0,0,3,2013/04/02 00:00:00+00,04-02-2013 15:38,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,N,Clear,Dry,Daylight,,,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
1,-122.2951571,47.56146453,434,83400,83400,2798081,Matched,Intersection,32500,29TH AVE S AND S SNOQUALMIE ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2008/10/01 00:00:00+00,10-01-2008,At Intersection (intersection related),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",Y,0,Clear,Dry,Daylight,,8275006,,32,One parked--one moving,0,0,N
1,-122.3342121,47.54937951,436,320884,322384,E921369,Matched,Block,,1ST AVE S BETWEEN S FIDALGO ST AND EAST MARGINAL WAY S, ,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,2019/05/14 00:00:00+00,5/14/2019 6:25:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,N,Clear,Wet,Daylight,,,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
2,-122.2864678,47.61835994,437,330842,332342,EA29932,Unmatched,Intersection,29498,37TH AVE E AND E DENNY WAY, ,,2,Injury Collision,,2,0,0,0,2020/04/20 00:00:00+00,4/20/2020,At Intersection (intersection related),24,MOTOR VEHCILE STRUCK PEDESTRIAN,,,,,,,,, ,,0,0,N
1,-122.2924936,47.7210075,438,47200,47200,2026651,Matched,Block,,33RD AVE NE BETWEEN NE 125TH ST AND NE 130TH ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2005/08/20 00:00:00+00,8/20/2005 12:30:00 AM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Dark - Street Lights On,,5232030,,32,One parked--one moving,0,0,N
1,-122.3553017,47.69021483,439,320831,322331,E936791,Matched,Block,,GREENWOOD AVE N BETWEEN N 84TH ST AND N 85TH ST, ,,1,Property Damage Only Collision,Angles,2,0,0,2,2019/07/03 00:00:00+00,07-03-2019 13:48,Mid-Block (but intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,,,10,Entering at angle,0,0,N
2,-122.3437015,47.61288566,440,1047,1047,3643896,Matched,Block,,2ND AVE BETWEEN LENORA ST AND BLANCHARD ST, ,,2,Injury Collision,Rear Ended,5,0,0,2,2013/03/24 00:00:00+00,3/24/2013 12:43:00 AM,Mid-Block (but intersection related),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,Y,Clear,Dry,Dark - Street Lights On,,,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
1,-122.3568228,47.70962819,441,22500,22500,1778746,Matched,Block,,PALATINE AVE N BETWEEN N 110TH ST AND N 112TH ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2004/01/27 00:00:00+00,1/27/2004 10:44:00 AM,Mid-Block (not related to intersection),13,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE AT ANGLE",,0,Clear,Dry,Daylight,,4027016,,32,One parked--one moving,0,0,N
